|date_from_calendar     |daily_active_users_cnt|max_dau_cnt|diff_dau|
|2022-04-23 00:00:00.000|38                    |148        |-110    |
|2022-04-24 00:00:00.000|39                    |148        |-109    |
|2022-04-25 00:00:00.000|38                    |148        |-110    |
|2022-04-26 00:00:00.000|48                    |148        |-100    |
|2022-04-27 00:00:00.000|78                    |148        |-70     |
|2022-04-28 00:00:00.000|56                    |148        |-92     |
|2022-04-29 00:00:00.000|50                    |148        |-98     |
|2022-04-30 00:00:00.000|30                    |148        |-118    |
|2022-05-01 00:00:00.000|30                    |148        |-118    |
|2022-05-02 00:00:00.000|43                    |148        |-105    |
|2022-05-03 00:00:00.000|49                    |148        |-99     |
|2022-05-04 00:00:00.000|62                    |148        |-86     |
|2022-05-05 00:00:00.000|63                    |148        |-85     |
|2022-05-06 00:00:00.000|52                    |148        |-96     |
|2022-05-07 00:00:00.000|36                    |148        |-112    |
|2022-05-08 00:00:00.000|30                    |148        |-118    |
|2022-05-09 00:00:00.000|40                    |148        |-108    |
|2022-05-10 00:00:00.000|45                    |148        |-103    |
|2022-05-11 00:00:00.000|62                    |148        |-86     |
|2022-05-12 00:00:00.000|60                    |148        |-88     |
|2022-05-13 00:00:00.000|63                    |148        |-85     |
|2022-05-14 00:00:00.000|52                    |148        |-96     |
|2022-05-15 00:00:00.000|45                    |148        |-103    |
|2022-05-16 00:00:00.000|61                    |148        |-87     |
|2022-05-17 00:00:00.000|58                    |148        |-90     |
|2022-05-18 00:00:00.000|57                    |148        |-91     |
|2022-05-19 00:00:00.000|67                    |148        |-81     |
|2022-05-20 00:00:00.000|50                    |148        |-98     |
|2022-05-21 00:00:00.000|29                    |148        |-119    |
|2022-05-22 00:00:00.000|50                    |148        |-98     |
|2022-05-23 00:00:00.000|55                    |148        |-93     |
|2022-05-24 00:00:00.000|62                    |148        |-86     |
|2022-05-25 00:00:00.000|0                     |148        |-148    |
|2022-05-26 00:00:00.000|0                     |148        |-148    |
|2022-05-27 00:00:00.000|0                     |148        |-148    |
|2022-05-28 00:00:00.000|0                     |148        |-148    |
|2022-05-29 00:00:00.000|0                     |148        |-148    |
|2022-05-30 00:00:00.000|0                     |148        |-148    |
|2022-05-31 00:00:00.000|0                     |148        |-148    |
